Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
BLoC,10000,2,5,20,293.1,2.2,620
BLoC,10000,2,6,21,301.9,2.5,665
BLoC,10000,2,7,22,307.2,2.6,678
BLoC,10000,2,8,20,294.6,2.3,628
BLoC,10000,2,9,21,302.8,2.5,670
BLoC,10000,2,10,22,309.1,2.7,687
BLoC,10000,3,1,27,335.8,3.1,170
BLoC,10000,3,2,25,320.2,2.5,145
BLoC,10000,3,3,26,328.5,2.8,158
BLoC,10000,3,4,27,336.5,3.1,172
BLoC,10000,3,5,25,321.1,2.6,148
BLoC,10000,3,6,26,330.4,2.9,162
BLoC,10000,3,7,27,334.2,3,168
BLoC,10000,3,8,25,322.6,2.7,152
BLoC,10000,3,9,26,331.9,2.9,165
BLoC,10000,3,10,27,336.1,3.1,171
BLoC,10000,4,1,20,288.8,2.8,415
BLoC,10000,4,2,18,272.2,2.2,372
BLoC,10000,4,3,19,280.5,2.5,395
BLoC,10000,4,4,20,289.6,2.8,418
BLoC,10000,4,5,18,273.1,2.3,378
BLoC,10000,4,6,19,281.4,2.6,402
BLoC,10000,4,7,20,287.2,2.7,412
BLoC,10000,4,8,18,274.6,2.4,382
BLoC,10000,4,9,19,282.9,2.6,408
BLoC,10000,4,10,20,289.1,2.8,417
